"Klub","Nazwa_stadionu","Pojemnosc","Liczba_widzow","Srednia","Wykorzystanie","Sezon","Kraj","Liczba_meczow","Zwyciestwa","Remisy","Porazki","Gole_zdobyte","Gole_stracone","Bilans_goli","Punkty"
"Club Brugge KV","Jan-Breydel-Stadion",29062,377069,25.138,86.5,"2012/2013","Belgia",15,8,5,2,29,13,16,29
"Standard Liège","Maurice Dufrasne Stadion",27670,320428,21.362,77.2,"2012/2013","Belgia",15,9,1,5,28,15,13,28
"RSC Anderlecht","Lotto Park",21500,313479,20.899,97.2,"2012/2013","Belgia",15,12,2,1,35,10,25,38
"KRC Genk","Cegeka Arena",24956,303007,20.2,80.9,"2012/2013","Belgia",15,10,3,2,36,18,18,33
"KAA Gent","Ghelamco Arena",19999,161609,10.774,53.9,"2012/2013","Belgia",15,5,4,6,16,16,0,19
"KV Mechelen","AFAS Stadion",16672,154417,10.294,61.8,"2012/2013","Belgia",15,7,1,7,24,23,1,22
"Cercle Brugge ","Jan-Breydel-Stadion",29062,122305,8.154,28.1,"2012/2013","Belgia",15,3,3,9,16,27,-11,12
"Beerschot AC","Olympisch Stadion",12771,120949,8.063,63.1,"2012/2013","Belgia",15,4,3,8,20,34,-14,15
"Oud-Heverlee Leuven","King Power at Den Dreef Stadion",10020,120280,8.019,80,"2012/2013","Belgia",15,5,6,4,26,27,-1,21
"KV Kortrijk","Guldensporenstadion",9399,114893,7.66,81.5,"2012/2013","Belgia",15,7,4,4,24,15,9,25
"SV Zulte Waregem","Elindus Arena",12250,113300,7.553,61.7,"2012/2013","Belgia",15,8,3,4,27,19,8,27
"Lierse SK (- 2018)","Herman Vanderpoortenstadion",14538,108728,7.249,49.9,"2012/2013","Belgia",15,3,7,5,13,20,-7,16
"RSC Charleroi","Stade du Pays de Charleroi",15000,96707,6.447,43,"2012/2013","Belgia",15,6,2,7,17,21,-4,20
"Waasland-Beveren","Freethielstadion",13290,96179,6.412,48.3,"2012/2013","Belgia",15,4,6,5,15,20,-5,18
"KSC Lokeren (- 2020)","Daknamstadion",12000,91421,6.095,50.8,"2012/2013","Belgia",15,5,7,3,24,20,4,22
"RAEC Mons (- 2015)","Stade Charles Tondreau ",12662,69769,4.651,36.7,"2012/2013","Belgia",15,6,2,7,25,30,-5,20
"Club Brugge KV","Jan-Breydel-Stadion",29062,379038,25.269,87,"2013/2014","Belgia",15,11,2,2,28,9,19,35
"Standard Liège","Maurice Dufrasne Stadion",27670,363411,24.227,87.6,"2013/2014","Belgia",15,10,4,1,29,10,19,34
"KRC Genk","Cegeka Arena",24956,323206,21.547,86.3,"2013/2014","Belgia",15,8,0,7,23,18,5,24
"RSC Anderlecht","Lotto Park",21500,302542,20.169,93.8,"2013/2014","Belgia",15,12,1,2,37,10,27,37
"KAA Gent","Ghelamco Arena",19999,278231,18.549,92.8,"2013/2014","Belgia",15,6,3,6,17,16,1,21
"KV Mechelen","AFAS Stadion",16672,145136,9.676,58,"2013/2014","Belgia",15,5,4,6,21,22,-1,19
"Oud-Heverlee Leuven","King Power at Den Dreef Stadion",10020,125596,8.373,83.6,"2013/2014","Belgia",15,6,6,3,21,18,3,24
"Cercle Brugge ","Jan-Breydel-Stadion",29062,123620,8.241,28.4,"2013/2014","Belgia",15,7,3,5,21,26,-5,24
"SV Zulte Waregem","Elindus Arena",12250,122761,8.184,66.8,"2013/2014","Belgia",15,11,4,0,31,14,17,37
"KV Kortrijk","Guldensporenstadion",9399,113740,7.583,80.7,"2013/2014","Belgia",15,6,5,4,31,24,7,23
"Lierse SK (- 2018)","Herman Vanderpoortenstadion",14538,109799,7.32,50.4,"2013/2014","Belgia",15,6,3,6,17,19,-2,21
"KSC Lokeren (- 2020)","Daknamstadion",12000,107799,7.187,59.9,"2013/2014","Belgia",15,9,3,3,25,14,11,30
"RSC Charleroi","Stade du Pays de Charleroi",15000,95680,6.379,42.5,"2013/2014","Belgia",15,5,5,5,19,18,1,20
"Waasland-Beveren","Freethielstadion",13290,87136,5.809,43.7,"2013/2014","Belgia",15,4,7,4,16,15,1,19
"KV Oostende","Diaz Arena",8432,78667,5.244,62.2,"2013/2014","Belgia",15,6,4,5,19,20,-1,22
"RAEC Mons (- 2015)","Stade Charles Tondreau ",12662,57399,3.827,30.2,"2013/2014","Belgia",15,4,3,8,15,23,-8,15
"Club Brugge KV","Jan-Breydel-Stadion",29062,391069,26.071,89.7,"2014/2015","Belgia",15,10,5,0,37,11,26,35
"Standard Liège","Maurice Dufrasne Stadion",27670,367880,24.525,88.6,"2014/2015","Belgia",15,8,2,5,25,22,3,26
"RSC Anderlecht","Lotto Park",21500,318675,21.245,98.8,"2014/2015","Belgia",15,8,5,2,25,11,14,29
"KRC Genk","Cegeka Arena",24956,272034,18.136,72.7,"2014/2015","Belgia",15,8,5,2,25,12,13,29
"KAA Gent","Ghelamco Arena",19999,271489,18.099,90.5,"2014/2015","Belgia",15,9,3,3,30,14,16,30
"KV Mechelen","AFAS Stadion",16672,144255,9.617,57.7,"2014/2015","Belgia",15,7,6,2,21,11,10,27
"SV Zulte Waregem","Elindus Arena",12250,133016,8.868,72.4,"2014/2015","Belgia",15,4,3,8,19,28,-9,15
"KSC Lokeren (- 2020)","Daknamstadion",12000,123873,8.258,68.8,"2014/2015","Belgia",15,7,5,3,27,18,9,26
"RSC Charleroi","Stade du Pays de Charleroi",15000,122999,8.2,54.7,"2014/2015","Belgia",15,8,3,4,23,12,11,27
"Cercle Brugge ","Jan-Breydel-Stadion",29062,117068,7.805,26.9,"2014/2015","Belgia",15,4,2,9,11,22,-11,14
"KV Kortrijk","Guldensporenstadion",9399,113896,7.593,80.8,"2014/2015","Belgia",15,8,2,5,30,17,13,26
"KVC Westerlo","Het Kuipje",8035,95839,6.389,79.5,"2014/2015","Belgia",15,5,5,5,25,21,4,20
"Lierse SK (- 2018)","Herman Vanderpoortenstadion",14538,95056,6.337,43.6,"2014/2015","Belgia",15,3,6,6,18,26,-8,15
"KV Oostende","Diaz Arena",8432,91571,6.105,72.4,"2014/2015","Belgia",15,6,3,6,24,28,-4,21
"Waasland-Beveren","Freethielstadion",13290,83367,5.558,41.8,"2014/2015","Belgia",15,5,3,7,12,18,-6,18
"Club Brugge KV","Jan-Breydel-Stadion",29062,385715,25.714,88.5,"2015/2016","Belgia",15,14,0,1,42,9,33,42
"Standard Liège","Maurice Dufrasne Stadion",27670,379035,25.269,91.3,"2015/2016","Belgia",15,8,2,5,22,16,6,26
"RSC Anderlecht","Lotto Park",21500,310378,20.692,96.2,"2015/2016","Belgia",15,10,5,0,29,13,16,35
"KAA Gent","Ghelamco Arena",19999,298514,19.901,99.5,"2015/2016","Belgia",15,10,4,1,35,14,21,34
"KRC Genk","Cegeka Arena",24956,253384,16.892,67.7,"2015/2016","Belgia",15,11,1,3,32,16,16,34
"KV Mechelen","AFAS Stadion",16672,151192,10.079,60.5,"2015/2016","Belgia",15,7,4,4,28,20,8,25
"Sint-Truidense VV","Daio Wasabi Stayen Stadium",14600,147970,9.865,67.6,"2015/2016","Belgia",15,4,4,7,17,23,-6,16
"RSC Charleroi","Stade du Pays de Charleroi",15000,136341,9.089,60.6,"2015/2016","Belgia",15,5,7,3,20,16,4,22
"SV Zulte Waregem","Elindus Arena",12250,127334,8.489,69.3,"2015/2016","Belgia",15,7,4,4,30,22,8,25
"KSC Lokeren (- 2020)","Daknamstadion",12000,123248,8.217,68.5,"2015/2016","Belgia",15,3,5,7,16,19,-3,14
"KV Kortrijk","Guldensporenstadion",9399,118218,7.881,83.9,"2015/2016","Belgia",15,8,5,2,19,12,7,29
"Oud-Heverlee Leuven","King Power at Den Dreef Stadion",10020,107396,7.16,71.5,"2015/2016","Belgia",15,6,2,7,23,22,1,20
"KV Oostende","Diaz Arena",8432,101158,6.744,80,"2015/2016","Belgia",15,10,2,3,35,21,14,32
"KVC Westerlo","Het Kuipje",8035,94200,6.28,78.2,"2015/2016","Belgia",15,5,4,6,17,22,-5,19
"Waasland-Beveren","Freethielstadion",13290,83436,5.562,41.9,"2015/2016","Belgia",15,4,5,6,19,25,-6,17
"Club Brugge KV","Jan-Breydel-Stadion",29062,400929,26.729,92,"2016/2017","Belgia",15,12,3,0,39,12,27,39
"Standard Liège","Maurice Dufrasne Stadion",27670,326929,23.352,84.4,"2016/2017","Belgia",15,7,5,3,27,16,11,26
"KAA Gent","Ghelamco Arena",19999,297106,19.807,99,"2016/2017","Belgia",15,12,1,2,31,9,22,37
"RSC Anderlecht","Lotto Park",21500,272688,18.179,84.6,"2016/2017","Belgia",15,10,4,1,38,11,27,34
"KRC Genk","Cegeka Arena",24956,241561,16.104,64.5,"2016/2017","Belgia",15,10,3,2,24,13,11,33
"KV Mechelen","AFAS Stadion",16672,179588,11.973,71.8,"2016/2017","Belgia",15,10,1,4,24,13,11,31
